S. No.,Entity,Logo,HQ,Domain,Description,Map Bucket 1,Map Bucket 2,Relevance Flag (Y/N),Sub Bucket,Tools/Products
188,Bodyguard,,France,https://www.bodyguard.ai/en,"AI-powered real-time content moderation (text, image, video) & audience intelligence for online communities and platforms",Media & Messaging,,Y,,
189,Engaging Networks,,United Kingdom,https://www.engagingnetworks.net/,"Digital engagement platform: fundraising, advocacy, email/SMS, supporter databases & political-targeted tools",Fundraising,Volunteer Mobilisation,Y,,
190,ElevenLabs,,United States,https://elevenlabs.io/,"AI-powered voice synthesis and audio generation (text-to-speech, voice cloning, dubbing)",Media & Messaging,,Y,,
191,Spaak Technologies,,Denmark,https://spaak.ai/,"AI-native “operating system” for public affairs: policy monitoring, stakeholder tracking, automated brief drafting",Research,,Y,Regulatory & Legislative Intelligence,Hamilton
192,Nexus Politics,,Germany,https://www.nexuspolitics.org/,"AI-driven platform linking citizens & politicians: citizen concerns, polling, legislative tracking, political CRM",Participation Tech,,Y,,
193,Psi Tech,,United Kingdom,https://psi.tech/,AI-based collective intelligence platform for stakeholder conversations and opinion research,Research,,Y,Opinion Research,
194,Data Sciences Inc.,,Canada,https://datasciences.ca/,"Marketing, data-analytics & predictive modelling for clients including political campaigns",Data Analytics and Modeling,,Y,Voter Modeling,
195,Connexa,,Israel,https://myconnexa.com/,"AI-driven campaign/mobilisation platform: social-listening, audience segmentation, mass communication tools for political/social orgs",,,Review,,
196,Stenomatic,,Singapore,https://www.stenomatic.ai/,AI-powered real-time translation and interpretation platform supporting 70+ languages and video calls,Media & Messaging,,Y,,
197,NemoVote,,Germany,https://nemovote.com/,"Secure online voting software for associations, unions, NGOs and political parties",Voting Tech,,Y,,
198,Ipsos,,France,https://www.ipsos.com/en-us,"Global market-research & public-opinion polling firm; provides data and insights across society, markets and politics",Research,,Y,Opinion Research,
199,Conversation Starter BV,,Belgium,https://www.conversationstarter.net/,"Platform for event networking: scheduling meetings, community building, agendas for participants",Community Engagement,,Y,,
200,Logically,,United Kingdom,https://logically.ai/,"AI‐driven narrative intelligence and disinformation monitoring: predictive modelling, network detection, multi-language monitoring across 50+ languages",Research,Data Analytics and Modeling,Y,,
201,Gerulata Technologies,,Slovakia,https://www.gerulata.com/,"AI-powered monitoring & analysis platform to detect disinformation, hostile propaganda, networks of influence",,,Review,,
